"url","title_len","desc_len","h1_count","issues"
"/strucny-prehled-dejin-bulharska-od-staroveku-po-moderni-dobu/","55","152","1",""
"/tajemny-projekt-meni-pobrezi-varny/","55","156","1",""
"/tajemstvi-zapomenutych-lazni-sofie/","55","155","1",""
"/ticha-krize-demokracie-v-evrope-jak-oslabeni-pravniho-statu-ovlivnuje-obcany-i-turisty/","60","153","1",""
"/tragedie-na-silnicich-v-bulharsku/","54","151","1",""
"/tragedie-na-silnicich-v-bulharsku-jak-cestovat-bezpecne/","57","150","1",""
"/tragedie-v-sofii-4-zivoty-zmareny/","55","155","1",""
"/tragedie-v-sofii-vybuch-v-lozeneci/","35","151","1",""
"/tragicka-nehoda-otrasla-bulharskem/","55","155","1",""
"/tri-poklady-bulharske-kuchyne-ktere-musite-ochutnat/","50","139","1",""
"/utoky-neustavaji-ropa-i-zivoty/","52","125","1",""
"/uzavreni-letiste-pulkovo-proc/","52","127","1",""
"/vidin-bulharsko-tajemne-mesto-na-dunaji/","64","141","1",""
"/vlna-solidarity-v-srdci-sofie/","50","158","1",""
"/vtipna-slova-v-bulharstine/","59","139","1",""
"/vypadek-tepla-v-sofii-co-dal/","51","153","1",""
"/west-mall-nakupy-zabava-relax/","54","157","1",""
"/zapomenute-lazne-sofie-pribeh/","51","155","1",""
"/zazitky-z-nuda-plaze/","40","137","1",""
"/zimni-kouzlo-bulharska-slunce-a-scenerie/","41","137","1",""
"/zlate-pisky-vase-vstupenka-do-raje-relaxace-a-dobrodruzstvi/","50","159","1",""
"/zona-objeti-na-letisti-sofie/","51","152","1",""
"/zona-pro-objeti-na-letisti-sofie/","54","155","1",""
"/zona-pro-objeti-novinka-u-t2-sofie/","35","125","1",""
"/page/2/","43","138","1",""
"/category/cestopisy/","38","134","1",""
"/category/cestovni-pruvodce/","38","136","1",""
"/category/historie-bulharska/","41","129","1",""
"/category/kultura-a-tradice/","43","128","1",""
"/category/nejoblibenejsi-destinace/","36","129","1",""
"/category/prakticke-tipy/","40","134","1",""
"/category/tipy-na-vylety/","43","138","1",""
"/category/zpravy-bulharsko/","41","136","1",""
